TABLE OF CONTENTS
Genesis                                   Page 1
Exodus                                   Page 6
The Surprise Invitation                                   Page 11
Lillie's Siblings                                   Page 24
A Friend in Need is a Friend Indeed                                   Page 35
Bestie Wa Me                                   Page 43
The Forbidden Fruit Tastes Sweeter                                   Page 57
Honey is Sweet But Bees Bite                                   Page 63
Valentine's Day                                   Page 70
Party After Party                                   Page 102
Chronicles                                   Page 111
For God and my Love                                   Page 123
It Is What It Is                                   Page 134
1000 Names of Lillian                                   Page 142
My Birthday Party                                   Page 237
Let Sleeping Dogs Lie                                   Page 251
Love at First Sight                                   Page 262
Lamentations                                   Page 283
Love at Last                                   Page 305
MYOB                                   Page 343
Revelation                                   Page 351
